,Area name
0,Alabama
1,Autauga County
2,Baldwin County
3,Barbour County
4,Bibb County
5,Blount County
6,Bullock County
7,Butler County
8,Calhoun County
9,Chambers County
10,Cherokee County
11,Chilton County
12,Choctaw County
13,Clarke County
14,Clay County
15,Cleburne County
16,Coffee County
17,Colbert County
18,Conecuh County
19,Coosa County
20,Covington County
21,Crenshaw County
22,Cullman County
23,Dale County
24,Dallas County
25,DeKalb County
26,Elmore County
27,Escambia County
28,Etowah County
29,Fayette County
30,Franklin County
31,Geneva County
32,Greene County
33,Hale County
34,Henry County
35,Houston County
36,Jackson County
37,Jefferson County
38,Lamar County
39,Lauderdale County
40,Lawrence County
41,Lee County
42,Limestone County
43,Lowndes County
44,Macon County
45,Madison County
46,Marengo County
47,Marion County
48,Marshall County
49,Mobile County
50,Monroe County
51,Montgomery County
52,Morgan County
53,Perry County
54,Pickens County
55,Pike County
56,Randolph County
57,Russell County
58,St. Clair County
59,Shelby County
60,Sumter County
61,Talladega County
62,Tallapoosa County
63,Tuscaloosa County
64,Walker County
65,Washington County
66,Wilcox County
67,Winston County
68,Alaska
69,Aleutians East Borough
70,Aleutians West Census Area
71,Anchorage Municipality
72,Bethel Census Area
73,Bristol Bay Borough
74,Denali Borough
75,Dillingham Census Area
76,Fairbanks North Star Borough
77,Haines Borough
78,Hoonah-Angoon Census Area
79,Juneau City and Borough
80,Kenai Peninsula Borough
81,Ketchikan Gateway Borough
82,Kodiak Island Borough
83,Lake and Peninsula Borough
84,Matanuska-Susitna Borough
85,Nome Census Area
86,North Slope Borough
87,Northwest Arctic Borough
88,Petersburg Census Area
89,Prince of Wales-Hyder Census Area
90,Prince of Wales-Outer Ketchikan Census Area
91,Sitka City and Borough
92,Skagway Municipality
93,Skagway-Hoonah-Angoon Census Area
94,Southeast Fairbanks Census Area
95,Valdez-Cordova Census Area
96,Wade Hampton Census Area
97,Wrangell City and Borough
98,Wrangell-Petersburg Census Area
99,Yakutat City and Borough
100,Yukon-Koyukuk Census Area
101,Arizona
102,Apache County
103,Cochise County
104,Coconino County
105,Gila County
106,Graham County
107,Greenlee County
108,La Paz County
109,Maricopa County
110,Mohave County
111,Navajo County
112,Pima County
113,Pinal County
114,Santa Cruz County
115,Yavapai County
116,Yuma County
117,Arkansas
118,Arkansas County
119,Ashley County
120,Baxter County
121,Benton County
122,Boone County
123,Bradley County
124,Calhoun County
125,Carroll County
126,Chicot County
127,Clark County
128,Clay County
129,Cleburne County
130,Cleveland County
131,Columbia County
132,Conway County
133,Craighead County
134,Crawford County
135,Crittenden County
136,Cross County
137,Dallas County
138,Desha County
139,Drew County
140,Faulkner County
141,Franklin County
142,Fulton County
143,Garland County
144,Grant County
145,Greene County
146,Hempstead County
147,Hot Spring County
148,Howard County
149,Independence County
150,Izard County
151,Jackson County
152,Jefferson County
153,Johnson County
154,Lafayette County
155,Lawrence County
156,Lee County
157,Lincoln County
158,Little River County
159,Logan County
160,Lonoke County
161,Madison County
162,Marion County
163,Miller County
164,Mississippi County
165,Monroe County
166,Montgomery County
167,Nevada County
168,Newton County
169,Ouachita County
170,Perry County
171,Phillips County
172,Pike County
173,Poinsett County
174,Polk County
175,Pope County
176,Prairie County
177,Pulaski County
178,Randolph County
179,St. Francis County
180,Saline County
181,Scott County
182,Searcy County
183,Sebastian County
184,Sevier County
185,Sharp County
186,Stone County
187,Union County
188,Van Buren County
189,Washington County
190,White County
191,Woodruff County
192,Yell County
193,California
194,Alameda County
195,Alpine County
196,Amador County
197,Butte County
198,Calaveras County
199,Colusa County
200,Contra Costa County
201,Del Norte County
202,El Dorado County
203,Fresno County
204,Glenn County
205,Humboldt County
206,Imperial County
207,Inyo County
208,Kern County
209,Kings County
210,Lake County
211,Lassen County
212,Los Angeles County
213,Madera County
214,Marin County
215,Mariposa County
216,Mendocino County
217,Merced County
218,Modoc County
219,Mono County
220,Monterey County
221,Napa County
222,Nevada County
223,Orange County
224,Placer County
225,Plumas County
226,Riverside County
227,Sacramento County
228,San Benito County
229,San Bernardino County
230,San Diego County
231,San Francisco County
232,San Joaquin County
233,San Luis Obispo County
234,San Mateo County
235,Santa Barbara County
236,Santa Clara County
237,Santa Cruz County
238,Shasta County
239,Sierra County
240,Siskiyou County
241,Solano County
242,Sonoma County
243,Stanislaus County
244,Sutter County
245,Tehama County
246,Trinity County
247,Tulare County
248,Tuolumne County
249,Ventura County
250,Yolo County
251,Yuba County
252,Colorado
253,Adams County
254,Alamosa County
255,Arapahoe County
256,Archuleta County
257,Baca County
258,Bent County
259,Boulder County
260,Broomfield County
261,Chaffee County
262,Cheyenne County
263,Clear Creek County
264,Conejos County
265,Costilla County
266,Crowley County
267,Custer County
268,Delta County
269,Denver County
270,Dolores County
271,Douglas County
272,Eagle County
273,Elbert County
274,El Paso County
275,Fremont County
276,Garfield County
277,Gilpin County
278,Grand County
279,Gunnison County
280,Hinsdale County
281,Huerfano County
282,Jackson County
283,Jefferson County
284,Kiowa County
285,Kit Carson County
286,Lake County
287,La Plata County
288,Larimer County
289,Las Animas County
290,Lincoln County
291,Logan County
292,Mesa County
293,Mineral County
294,Moffat County
295,Montezuma County
296,Montrose County
297,Morgan County
298,Otero County
299,Ouray County
300,Park County
301,Phillips County
302,Pitkin County
303,Prowers County
304,Pueblo County
305,Rio Blanco County
306,Rio Grande County
307,Routt County
308,Saguache County
309,San Juan County
310,San Miguel County
311,Sedgwick County
312,Summit County
313,Teller County
314,Washington County
315,Weld County
316,Yuma County
317,Connecticut
318,Fairfield County
319,Hartford County
320,Litchfield County
321,Middlesex County
322,New Haven County
